起始节点,目标节点,关系
异方差性,异方差性的概念,包含
异方差性,异方差性的后果,包含
异方差性,异方差性的检验,包含
用残差绝对值对解释变量进行回归,假设的函数形式,包含
异方差性,异方差性的补救措施,包含
异方差性,案例分析,包含
异方差性的概念,异方差的实质,包含
异方差性的概念,产生异方差的原因,包含
异方差性的后果,对参数估计式统计特性的影响,包含
异方差性的后果,对模型假设检验的影响,包含
异方差性的后果,对预测的影响,包含
异方差性的后果,对预测的影响回归模型的正确性建立和统计推断带来严重后果,包含
异方差性的检验,图示检验法,包含
异方差性的检验,Goldfeld-Quandt检验,包含
异方差性的检验,White检验,包含
异方差性的检验,ARCH检验,包含
异方差性的检验,Glejser检验,包含
假设的函数形式,\left|  e_{i} \right| &= \beta X_{i} + v_{i},包含
假设的函数形式,\left| e_{i} \right| &= \alpha + \beta X_{i} + v_{i},包含
假设的函数形式,\left| e_{i} \right| &= \beta \sqrt{X_{i}} + v_{i},包含
假设的函数形式,\left| e_{i} \right| &= \beta \frac{1}{X_{i}} + v_{i},包含
假设的函数形式,\left| e_{i} \right| &= \beta \frac{1}{\sqrt{X_{i}}} + v_{i},包含
异方差性的检验,总结,包含
异方差性的补救措施,基本思想,包含
异方差性的补救措施,对模型变换,包含
异方差性的补救措施,加权最小二乘法,包含
异方差性的补救措施,模型的对数变换,包含
案例分析,问题的提出和模型设定,包含
案例分析,参数估计,包含
案例分析,检验模型的异方差,包含
案例分析,异方差性的修正,包含
产生异方差的原因,模型设定误差,包含
产生异方差的原因,测量误差的变化,包含
产生异方差的原因,截面数据中总体各单位的差异,包含
对参数估计式统计特性的影响,参数的OLS估计仍然具有无偏性,包含
对参数估计式统计特性的影响,参数OLS估计式的方差不再有效,包含
对模型假设检验的影响,破坏t检验和F检验的有效性,包含
对模型假设检验的影响,t统计量不服从t分布,包含
对模型假设检验的影响,F统计量不服从F分布,包含
对模型假设检验的影响,古典假定下的统计量不成立,包含
对预测的影响,对Y的预测不再有效,包含
对预测的影响,参数OLS估计的方差Var(\hat{\beta}_k)不能唯一确定,包含
图示检验法,相关图形分析,包含
图示检验法,残差图形分析,包含
图示检验法,特点,包含
图示检验法,缺陷,包含
Goldfeld-Quandt检验,基本思想,包含
Goldfeld-Quandt检验,检验的前提条件,包含
Goldfeld-Quandt检验,检验的具体做法,包含
Goldfeld-Quandt检验,功效,包含
Goldfeld-Quandt检验,经验,包含
Goldfeld-Quandt检验,缺陷,包含
White检验,基本思想,包含
White检验,基本步骤,包含
White检验,特点,包含
White检验,缺陷,包含
White检验,改进,包含
ARCH检验,背景,包含
ARCH检验,基本思想,包含
ARCH检验,ARCH过程,包含
ARCH检验,基本步骤,包含
Glejser检验,基本思想,包含
Glejser检验,特点,包含
Glejser检验,基本步骤,包含
总结,共同思想,包含
总结,价值,包含
基本思想,确认异方差形式的基础上，采用适当的估计方法，消除或减小异方差对模型的影响,包含
对模型变换,前提,包含
对模型变换,基本步骤,包含
对模型变换,f(X_{i})的形式,包含
对模型变换,缺陷,包含
对模型变换,说明,包含
加权最小二乘法,基本思想,包含
加权最小二乘法,模型设定,包含
加权最小二乘法,参数估计,包含
加权最小二乘法,参数表示,包含
加权最小二乘法,性质,包含
模型的对数变换,前提,包含
模型的对数变换,作用,包含
模型的对数变换,注意,包含
检验模型的异方差,图形法,包含
检验模型的异方差,Goldfeld-Quandt检验,包含
检验模型的异方差,White检验,包含
异方差性的修正,加权最小二乘法（WLS）,包含
残差图形分析,绘制e^2_i对X_i的散点图,包含
特点,简单易操作,包含
缺陷,对异方差性的判断比较粗糙,包含
基本思想,将样本分为两部分，然后分别对两个样本进行回归，并计算比较两个回归的剩余平方和是否有明显差异,包含
检验的前提条件,检验只适用于大样本,包含
检验的前提条件,除同方差假定不成立外，其他假定均满足,包含
检验的具体做法,将样本观测值按解释变量X_i的大小排列,包含
检验的具体做法,将排在中间的c_i个（为样本个数n的1/5~1/4）的观察值删除掉，再将剩余的观测值分为两个部分，每部分观察值的个数为(n-c)/2。,包含
检验的具体做法,提出假设。H0即两部分数据的方差相等； H1两部分数据的方差不相等。,包含
检验的具体做法,判断。给定显著性水平，查F分布表，得临界值,包含
检验的具体做法,构造F统计量,包含
功效,对观测值的正确排序有关,包含
功效,与删除数据的个数c的大小有关,包含
经验,当n=30时，可以取c=4-6；当n=60时，可以取c=10-14,包含
缺陷,得到的F分布是近似的,包含
缺陷,是对异方差是否存在进行判断，在多个解释变量的情况下，对判断是哪一个变量以什么函数形式引起异方差还存在局限,包含
基本思想,分析方差是否与解释变量有某些形式的联系以判断异方差性,包含
基本步骤,用OLS法估计模型，计算残差，并求残差的平方。,包含
基本步骤,用残差平方作为异方差的估计，并作对解释变量及其二次项、交互项的辅助回归,包含
基本步骤,计算统计量nR^2,包含
基本步骤,"H0：\alpha_2, \cdots , \alpha_p=0nR渐近地服从自由度为p的\chisq^2分布，p为辅助回归式中斜率的个数，做卡方检验",包含
特点,不仅能够检验异方差的存在性，同时在多个解释变量的情况下，还能判断出是哪一个变量引起的异方差,包含
特点,不需要异方差的先验信息，但要求观测值为大样本,包含
缺陷,解释变量过多，会丧失较多的自由度,包含
改进,多元线性回归函数的拟合值\hat{Y}^2，作e_t^2对\hat{Y}与\hat{Y}^2的辅助回归,包含
背景,时间序列的异方差,包含
基本思想,存在的异方差性为 ARCH(自回归条件异方差)过程,包含
基本步骤,提出假设。H0:\alpha_1=\alpha_2= \cdots =\alpha__p=0,包含
基本步骤,对原模型作OLS估计，求出残差，并计算残差平方序列，以分别作为对方差的估计。,包含
基本步骤,对t期残差平方做p阶滞后辅助回归,包含
