起始节点,关系,目标节点
回归分析与回归函数,涉及,相关分析与回归分析
相关分析与回归分析,探讨,经济变量间的相互关系
经济变量间的相互关系,包含,确定性的函数关系
经济变量间的相互关系,包含,不确定性的统计关系或相关关系
经济变量间的相互关系,涉及,相关关系涉及的变量数量
经济变量间的相互关系,描述,变量相关关系的表现形式
经济变量间的相互关系,指示,变量相关关系变化的方向
经济变量间的相互关系,衡量,变量相关的程度
回归分析与回归函数,包含,简单线性相关关系的度量
简单线性相关关系的度量,定义,简单线性相关系数
简单线性相关关系的度量,特点,相关系数的特点
回归分析与回归函数,包含,回归分析
回归分析,定义,回归分析的定义
回归分析,目的,回归分析的目的
回归分析,联系,回归分析与相关分析的密切联系
回归分析与回归函数,涉及,总体回归函数
总体回归函数,表达式,总体回归函数（PRF）：E(Y|X)=f(X)
总体回归函数,解释,线性的解释
回归分析与回归函数,包含,随机扰动项
随机扰动项,定义,随机扰动项的定义
随机扰动项,原因,引进随机扰动项的原因
回归分析与回归函数,包含,样本回归函数
样本回归函数,定义,样本回归函数的定义
样本回归函数,形式,样本回归函数的形式
简单线性回归模型参数的估计,基于,简单线性回归的基本假定
简单线性回归的基本假定,设定,变量和模型的假定
简单线性回归的基本假定,假设,随机扰动项统计分布的假定
简单线性回归模型参数的估计,方法,普通最小二乘法
普通最小二乘法,定义,最小二乘准则的定义
普通最小二乘法,方程组,最小二乘的正规方程组
普通最小二乘法,计算,最小二乘估计量的计算
简单线性回归模型参数的估计,性质,OLS回归线的性质
简单线性回归模型参数的估计,统计性质,最小二乘估计量的统计性质
最小二乘估计量的统计性质,评价,参数估计量的评价标准
最小二乘估计量的统计性质,特性,OLS估计量的统计特性
拟合优度的度量,分解,总变差的分解
总变差的分解,组成,总变差的组成部分
拟合优度的度量,系数,可决系数
可决系数,特点,可决系数的特点
可决系数,关系,可决系数与相关系数的关系
回归系数的假设检验和区间估计,性质,OLS估计的分布性质
OLS估计的分布性质,变换,OLS估计的标准化变换
OLS估计的分布性质,估计,方差估计
回归系数的假设检验和区间估计,检验,回归系数的假设检验
回归系数的假设检验,水平,显著性水平与临界值
回归系数的假设检验,方法,P值检验方法
回归系数的假设检验和区间估计,估计,回归系数的区间估计
回归模型预测,报告,回归分析结果的报告
回归分析结果的报告,整理,回归分析结果报告的数据整理
回归模型预测,预测,被解释变量平均值预测
被解释变量平均值预测,定义,预测的定义
被解释变量平均值预测,方法,预测的基本方法
被解释变量平均值预测,条件,预测的条件
被解释变量平均值预测,类型,预测的类型
回归模型预测,预测,被解释变量个别值预测
被解释变量个别值预测,条件,个别值预测条件
被解释变量个别值预测,计算,个别值预测区间计算
回归模型预测,特点,被解释变量预测特点
案例分析,设定,模型设定
模型设定,选择,被解释变量
模型设定,选择,解释变量
模型设定,操作,EViews操作
EViews操作,创建,建立工作文件
EViews操作,输入,输入数据
EViews操作,图形,作Y与X的相关图形
案例分析,参数,估计参数
估计参数,操作,EViews操作
案例分析,检验,模型检验
模型检验,意义,经济意义检验
模型检验,检验,拟合优度和统计检验
案例分析,预测,回归预测
回归预测,预测,点预测
回归预测,操作,EViews操作
回归预测,预测,区间预测
