起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点,问题,解答
多元线性回归模型及古典假定,多元线性回归模型,包含,多元线性回归模型及古典假定,多元线性回归模型,模型定义,描述一个被解释变量与多个解释变量之间的线性关系,该模型对参数而言是线性的，对变量可以是线性的也可以是非线性的,多元线性回归模型的总体回归函数形式是什么？,"E(Y_i | X_{1i}, \dots, X_{ki}) = \beta_1 + \beta_2 X_{2i} + \cdots + \beta_k X_{ki} \quad (i = 1, 2, \dots, n)"
多元线性回归模型,模型定义,包含,多元线性回归模型的估计,多元线性回归模型的古典假定,模型形式,总体回归函数,\(Y=\beta_0+\beta_1X_1+\ldots+\beta_kX_k+u\)，其中\(Y\)是被解释变量，\(X_1\)到\(X_k\)是解释变量，\(u\)是随机误差项,参数\(\beta_1\)在模型中的经济意义是什么？,保持 X_1 不变，X_2 每增加原来的 1%，平均来说，Y 增加原来的beta_2 倍
模型定义,描述一个被解释变量与多个解释变量之间的线性关系,包含,多元线性回归模型的假设检验和区间估计,多元线性回归模型参数的最小二乘估计,矩阵形式,样本回归函数,\hat{Y}_i=\hat{\beta}_0+\hat{\beta}_1X_{i1}+\hat{\beta}_2X_{i2}+\dots+\hat{\beta}_kX_{ik}，其中\(\epsilon\)是样本残差,修正可决系数\(R^2\)高的意义是什么？,模型的预测越准确
多元线性回归模型,模型形式,包含,多元线性回归模型的预测,参数最小二乘估计的性质,零均值假定,总体线性回归函数的矩阵形式,Y_i=\hat{Y}_i+e_i,多元回归中的方差-协方差矩阵如何表示？,\sigma^2 (\mathbf{X'X})^{-1}
模型形式,总体回归函数,包含,EViews软件操作,OLS估计的分布性质,同方差和无自相关假定,样本线性回归函数的矩阵形式,"当样本观测次数为n，Y_i=\hat{\beta}_0+\hat{\beta}_1X_{i1}+\hat{\beta}_2X_{i2}+\dots+\hat{\beta}_kX_{ik}+e_i\quad(i=1,2,\dots,n)",总变差TSS的自由度如何计算？,n-1
模型形式,样本回归函数,包含,,随机扰动项方差的估计,随机扰动项与解释变量不相关假定,随机扰动项的期望或均值为零,\(Y=X\beta+u\)其中\(Y\)是被解释变量向量，\(X\)是解释变量矩阵，\(\beta\)是参数向量，\(u\)是随机误差向量,在C-D生产函数Y = A L^{\alpha} K^{\beta}中，哪些参数代表弹性？,alpha beta
多元线性回归模型,矩阵形式,包含,,拟合优度检验,无多重共线性假定,随机扰动项互不相关且方差相同,\(Y=X\beta+\epsilon\)其中\(\epsilon\)是样本残差向量,"Y_i = \beta_0 + \beta_1 X_{1i} + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i,C_{ij} 是矩阵 (X'X)^{-1} 中第 i 行第 j 列的元素,如何计算检验\(\beta_1 = 1\)的t统计量？",\frac{\beta_1}{\hat{\sigma} \sqrt{C_{22}}}
矩阵形式,总体线性回归函数的矩阵形式,包含,,回归方程的显著性检验（F-检验）,正态性假定,随机扰动项与解释变量不相关,\(E(u)=0\),在无异方差性和无序列自相关性时，协方差矩阵的形式是什么？,"\sigma^2 \begin{pmatrix}
1 & 0 & \cdots & 0 \\
0 & 1 & \cdots & 0 \\
\vdots & \vdots & \ddots & \vdots \\
0 & 0 & \cdots & 1 \\
\end{pmatrix} = \sigma^2 I_n"
矩阵形式,样本线性回归函数的矩阵形式,包含,,回归参数的显著性检验（t-检验）,估计方法,各解释变量之间不存在线性关系,\(\text{Var}(u)=\sigma^2I\)，其中\(\sigma^2\)是常数，\(I\)是单位矩阵,修正后的可决系数与多重可决系数之间的数学关系是什么？,\bar{R}^2 = 1 - (1 - R^2) \frac{n - 1}{n - k}
多元线性回归模型及古典假定,多元线性回归模型的古典假定,包含,,多元线性回归模型参数的区间估计,残差计算,随机扰动项服从正态分布,"\(\text{Cov}(X,u)=0\)",关于多元线性回归模型的正确表述是什么？,当随机误差项的方差估计量等于零时，说明被解释变量与解释变量之间为函数关系
